lh_or_rh,height,runner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,183.0,0.0,1.000,0.500,0.250,0.0,0.30099999999999993,0.0,0.333,0.600,0.200,0.30099999999999993,0.000,0.200,0.500,0.000,0.30099999999999993,1.000,0.250,0.5,0.0,1.000,0.30099999999999993,0.30099999999999993,0.000,0.30099999999999993,0.30099999999999993
1,183.0,1.0,0.000,1.000,0.25,0.000,0.30099999999999993,0.000,0.000,0.000,0.500,0.30099999999999993,0.000,0.200,0.500,0.800,0.30099999999999993,0.000,0.000,0.500,0.000,0.500,0.30099999999999993,0.30099999999999993,0.000,0.30099999999999993,0.30099999999999993
0,176.0,0.0,0.22705555555555554,0.22705555555555554,0.5,0.000,0.22705555555555554,0.22705555555555554,0.000,0.000,0.500,0.000,0.22705555555555554,0.000,0.200,0.500,0.0,0.22705555555555554,0.0,0.500,0.0,0.000,0.22705555555555554,1.0,0.000,0.000,1.000
0,176.0,1.0,0.22705555555555554,0.22705555555555554,0.500,0.0,0.22705555555555554,0.22705555555555554,0.000,0.000,0.333,0.0,0.22705555555555554,0.250,0.667,0.000,0.000,0.22705555555555554,0.000,0.000,0.000,0.0,0.22705555555555554,1.000,0.000,0.0,1.000
0,176.0,0.0,0.0,0.4360833333333334,0.000,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.333,0.0,0.000,0.4360833333333334,1.000,0.4360833333333334,0.333,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.500,0.000,1.000,0.4360833333333334,1.0,1.000,0.4360833333333334
0,176.0,1.0,0.000,0.4360833333333334,1.000,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.333,0.000,0.0,0.4360833333333334,1.000,0.4360833333333334,0.000,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.4360833333333334,0.5,0.0,1.0,0.4360833333333334,1.000,1.0,0.4360833333333334
0,176.0,0.0,0.500,0.667,0.0,0.000,0.285695652173913,0.333,0.000,0.500,0.000,0.000,0.000,0.500,0.286,0.500,0.429,0.667,0.0,0.333,0.333,0.429,1.000,0.000,0.000,0.000,0.285695652173913
0,176.0,1.0,0.5,0.500,0.000,0.200,0.285695652173913,1.000,0.500,1.000,0.000,0.000,0.500,0.000,0.125,0.000,0.286,0.667,0.000,0.000,1.000,0.429,1.000,0.0,0.0,0.0,0.285695652173913
0,176.0,0.0,1.000,0.500,0.444,0.571,0.667,0.500,0.375,0.316,0.250,0.667,0.500,0.500,0.222,0.385,0.273,0.250,0.400,0.000,0.200,0.000,0.41691666666666666,0.000,0.0,0.750,0.5
0,176.0,1.0,1.0,0.333,0.333,0.000,0.500,0.667,0.429,0.375,0.400,0.571,1.000,0.500,0.300,0.400,0.571,0.500,0.400,0.500,0.200,0.000,0.41691666666666666,1.000,0.000,0.75,0.500
0,176.0,0.0,0.4144736842105263,1.000,0.333,0.4144736842105263,0.4144736842105263,1.0,1.0,0.333,0.000,0.4144736842105263,0.0,0.000,0.333,0.500,0.000,0.000,0.500,0.500,0.333,0.4144736842105263,0.4144736842105263,0.000,0.500,0.500,1.000
0,176.0,1.0,0.4144736842105263,1.0,0.333,0.4144736842105263,0.4144736842105263,1.000,1.000,0.667,0.000,0.4144736842105263,0.000,0.333,0.000,0.000,0.0,0.500,0.000,0.500,0.000,0.4144736842105263,0.4144736842105263,0.0,0.5,0.5,1.0
0,176.0,0.0,1.0,0.000,0.0,0.667,0.46668750000000003,0.46668750000000003,0.46668750000000003,0.750,0.750,1.000,0.46668750000000003,1.000,0.333,0.400,1.0,0.46668750000000003,0.000,0.333,0.800,0.46668750000000003,0.46668750000000003,0.46668750000000003,0.000,0.000,0.46668750000000003
0,176.0,1.0,1.000,1.000,0.000,0.667,0.46668750000000003,0.46668750000000003,0.46668750000000003,0.286,0.000,0.500,0.46668750000000003,0.000,0.000,0.250,1.000,0.46668750000000003,0.0,0.500,0.500,0.46668750000000003,0.46668750000000003,0.46668750000000003,1.000,0.000,0.46668750000000003
